Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:28 EDT
"Nutrient data for: 45000113, Smart Choice, Beef Rib, Ribeye Lip-On, 2X2 Bone-In, UNPREPARED, GTIN: 90028749036855"
Nutrient,Unit,"4.0 oz. = 112.0g",1Value per 100 g,
Proximates
"Energy",kcal,349,312
"Protein",g,18.00,16.07
"Total lipid (fat)",g,30.00,26.79
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,20,18
"Iron, Fe",mg,1.80,1.61
"Sodium, Na",mg,60,54
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,13.000,11.607
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,80,71
Amino Acids
Other
Ingredients
"Beef Rib" Date available: 10/01/2014 Date last updated by company: 02/10/2015
