Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45000199, Campbell's, CAMPBELL'S BEVERAGE TOMATO, UNPREPARED, GTIN: 10051000020250"
Nutrient,Unit,"8.0 oz. = 241.0g",1Value per 100 g,
Proximates
"Energy",kcal,51,21
"Protein",g,2.00,0.83
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,10.00,4.15
"Fiber, total dietary",g,1.9,0.8
"Sugars, total",g,6.00,2.49
Minerals
"Calcium, Ca",mg,41,17
"Iron, Fe",mg,0.99,0.41
"Sodium, Na",mg,670,278
Vitamins
"Vitamin C, total ascorbic acid",mg,72.1,29.9
"Vitamin A, IU",IU,1000,415
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
Ingredients
"INGREDIENTS: RECONSTITUTED TOMATO JUICE (WATER AND CONCENTRATED JUICE OF TOMATOES), SALT, VITAMIN C (ASCORBIC ACID)." Date available: 12/31/2004 Date last updated by company: 12/31/2014
