Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45001488, AMY'S, NON-DAIRY FROZEN DESSERT, VANILLA, UPC: 042272009466"
Nutrient,Unit,"1 serving = 92.0g","0.5 cup = 92.0g",1Value per 100 g,
Proximates
"Energy",kcal,170,170,185
"Protein",g,2.00,2.00,2.17
"Total lipid (fat)",g,12.00,12.00,13.04
"Carbohydrate, by difference",g,14.00,14.00,15.22
"Fiber, total dietary",g,1.0,1.0,1.1
"Sugars, total",g,12.00,12.00,13.04
Minerals
"Calcium, Ca",mg,0,0,0
"Iron, Fe",mg,1.08,1.08,1.17
"Sodium, Na",mg,95,95,103
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,10.994,10.994,11.950
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
Ingredients
"ORGANIC COCONUT MILK ORGANIC CANE SUGAR, ORGANIC VANILLA EXTRACT, SEA SALT, ORGANIC GUAR GUM, ORGANIC VANILLA BEAN" Date last updated by company: 07/17/2015
