Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45001433, AMY'S, BISCOTTI, ORANGE, UPC: 042272009534"
Nutrient,Unit,"1 serving = 34.0g",1Value per 100 g,
Proximates
"Energy",kcal,170,500
"Protein",g,3.00,8.82
"Total lipid (fat)",g,8.00,23.53
"Carbohydrate, by difference",g,20.00,58.82
"Fiber, total dietary",g,2.0,5.9
"Sugars, total",g,10.00,29.41
Minerals
"Calcium, Ca",mg,40,118
"Iron, Fe",mg,1.08,3.18
"Sodium, Na",mg,125,368
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,100,294
Lipids
"Fatty acids, total saturated",g,2.499,7.350
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,10,29
Amino Acids
Other
Ingredients
"ORGANIC CANE SUGAR, ORGANIC WHOLE GRAIN BROWN RICE FLOUR, ALMOND FLOUR, ORGANIC GLUTEN FREE OATS*, ORGANIC BUTTERMILK (ORGANIC LOWFAT MILK, CULTURES), GRADE AA BUTTER (CREAM, SALT), ORGANIC ALMONDS, ORGANIC CORNSTARCH, ORGANIC TAPIOCA STARCH, ORGANIC VANILLA EXTRACT, ORGANIC ORANGE OIL, BAKING SODA, ORGANIC SUNFLOWER OIL, XANTHAN GUM, SEA SALT." Date last updated by company: 07/01/2015
