Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:28 EDT
"Nutrient data for: 45000148, Tender Choice, Boneless Pork Loin, UNPREPARED, GTIN: 90028749174311"
Nutrient,Unit,"4.0 oz. = 112.0g",1Value per 100 g,
Proximates
"Energy",kcal,130,116
"Protein",g,22.00,19.64
"Total lipid (fat)",g,3.49,3.12
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,20,18
"Iron, Fe",mg,0.72,0.64
"Sodium, Na",mg,230,205
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.000,0.893
"Fatty acids, total trans",g,3.500,3.125
"Cholesterol",mg,69,62
Amino Acids
Other
Ingredients
"Boneless Pork Loin Contains up to 12% solution of Pork Stock, Sodium Phosphate, Salt, Vinegar, Flavoring." Date available: 11/14/2013 Date last updated by company: 02/10/2015
