Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:28 EDT
"Nutrient data for: 45000133, Excel, Beef Hind Shank, Bone-In, UNPREPARED, GTIN: 90028749604009"
Nutrient,Unit,"4.0 oz. = 112.0g",1Value per 100 g,
Proximates
"Energy",kcal,200,179
"Protein",g,23.00,20.54
"Total lipid (fat)",g,11.00,9.82
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,20,18
"Iron, Fe",mg,2.70,2.41
"Sodium, Na",mg,65,58
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,4.500,4.018
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,50,45
Amino Acids
Other
Ingredients
"Beef Round" Date available: 10/01/2014 Date last updated by company: 02/10/2015
