Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45001494, AMY'S, LIGHT & LEAN, PASTA & VEGGIES, UPC: 042272000654"
Nutrient,Unit,"1 serving = 227.0g",1Value per 100 g,
Proximates
"Energy",kcal,220,97
"Protein",g,10.01,4.41
"Total lipid (fat)",g,4.99,2.20
"Carbohydrate, by difference",g,33.01,14.54
"Fiber, total dietary",g,3.0,1.3
"Sugars, total",g,3.00,1.32
Minerals
"Calcium, Ca",mg,150,66
"Iron, Fe",mg,1.43,0.63
"Sodium, Na",mg,590,260
Vitamins
"Vitamin C, total ascorbic acid",mg,17.9,7.9
"Vitamin A, IU",IU,1001,441
Lipids
"Fatty acids, total saturated",g,1.498,0.660
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,5,2
Amino Acids
Other
Ingredients
"ORGANIC PASTA (ORGANIC SEMOLINA FLOUR, WATER), ORGANIC DICED TOMATOES, ORGANIC BROCCOLI, ORGANIC ASPARAGUS, ORGANIC TOMATO PUREE, SHALLOTS, PARMESAN CHEESE (PART-SKIM MILK, CULTURE, SALT, ENZYMES [WITHOUT ANIMAL ENZYMES OR RENNET]), ORGANIC BASIL, ORGANIC GARLIC, EXTRA VIRGIN OLIVE OIL, SEA SALT." Date last updated by company: 07/17/2015
